"Clitheroe Castle","Clitheroe Castle Gardens",53.870346,-2.39478
"Clough Hall juniors","Clough Hall Park",53.083194,-2.249699
"Clumber Park","Clumber Park",53.268022,-1.065717
"Cobb Gate juniors","Cobb Gate",50.724478,-2.932919
"Cockermouth Greenway juniors","Cockermouth Greenway juniors",54.659599,-3.353097
"Cockermouth Greenway","Cockermouth Greenway",54.659659,-3.356998
"Coed Cefn-pwll-du","Coed Cefn-pwll-du",51.591855,-3.140954
"Colby","Colby Woodland Garden",51.74064,-4.669924
"Colchester Castle","Castle Park",51.89167,0.902724
"Colchester juniors","Old Heath Recreation Ground",51.87996,0.919969
"Coldham’s Common juniors","Coldham’s Common",52.208437,0.15458
"Coldham’s Common","Coldham’s Common",52.206705,0.158881
"Colin Glen","Colin Glen Forest Park",54.570723,-6.020504
"Collett Park juniors","Collett Park",51.187461,-2.542572
"Colney Lane","UEA Colney Lane Playing Fields",52.621317,1.22519
"Colwick","Colwick Country Park, Nottingham",52.945171,-1.09786
"Comber juniors","Parkway",54.549098,-5.739909
"Comber","Parkway",54.549593,-5.740415
"Community Park juniors","Community Park",54.252207,-0.772206
"Concord","Concord Park, Sheffield",53.424007,-1.441612
"Congleton","Astbury Mere",53.160781,-2.229795
"Conkers","Conkers Park",52.739475,-1.543021
"Conwy Nature Reserve juniors","Conwy Nature Reserve",53.279512,-3.809626
"Conwy","RSPB Nature Reserve, Conwy",53.279388,-3.808966
"Conyngham Hall","Conyngham Hall",54.011758,-1.479507
"Cooper Park juniors","Cooper Park",57.653727,-3.31303
"Corby","West Glebe Recreation Ground",52.493879,-0.691774
"Coronation Park juniors","Coronation Park",53.567433,-2.889525
"Coronation Park","Coronation Park",52.773488,-1.586547
"Cosmeston Lakes","Cosmeston Lakes Country Park",51.418047,-3.185615
"Cotlands Park juniors","Cotlands Park",56.211928,-3.046588
"Cotsford Fields","Cotsford Fields",54.759499,-1.30077
"Cottenham Recreation Ground juniors","Cottenham Recreation Ground",52.289032,0.115253
"Coventry","War Memorial Park, Coventry",52.39172,-1.524026
"Cowick Barton Playing Fields juniors","Cowick Barton Playing Fields juniors",50.711668,-3.545242
"Cranbrook Country Park juniors","Cranbrook Country Park",50.751359,-3.408137
"Cranbrook Country Park","Cranbrook Country Park",50.750746,-3.417858
"Crane Park","Crane Park, Twickenham",51.441168,-0.372075
"Cranleigh juniors","Bruce Mckenzie Memorial Field",51.138393,-0.492747
"Cranleigh","Knowle Park",51.13819,-0.49151
"Crathes Castle","Crathes Castle",57.061178,-2.440954
"Crawfordsburn Country","Crawfordsburn Country Park",54.666682,-5.729434
"Crewe","Queens Park",53.097388,-2.470556
"Crichton","The Crichton",55.050773,-3.594589
"Crinan Canal","Crinan Canal",56.090978,-5.554954
"Crosby","Crosby Leisure Centre",53.48269,-3.046711
"Cross Flatts juniors","Cross Flatts Park",53.776611,-1.558242
"Cross Flatts","Cross Flatts Park",53.775754,-1.55757
"Croxteth Hall","Croxteth Hall Country Park",53.44217,-2.891774
"Croyland Park juniors","Croyland Park juniors",52.294379,-0.705317
"Crystal Palace juniors","Crystal Palace Park",51.419792,-0.06577
"Crystal Palace","Crystal Palace Park",51.419846,-0.065703
"Cuningar Loop","Cuningar Loop",55.84069,-4.201428
"Cusworth Hall","Cusworth Hall Museum & Park",53.529479,-1.177617
"Cwmbran","Northfields Recreation Ground",51.656234,-3.013498
"Cycle Route 43, Ystalyfera","Cycle Route 43, Ystalyfera",51.755941,-3.789728
"Cyclopark","Cyclopark",51.419922,0.352561
"Dalby Forest","Dalby Forest Courtyard",54.273821,-0.686599
"Darlington South Park","South Park",54.51484,-1.560531
"Dartford Heath","Heath Lane",51.435932,0.189929
"Dartford juniors","Central Park",51.44107,0.219065
"Dartford","Central Park",51.439141,0.220166
"Daventry Country Park juniors","Daventry Country Park",52.272681,-1.156307
"Daventry","Daventry Country Park",52.262374,-1.15732
"Dean Castle Country Park","Dean Castle Country Park",55.622901,-4.482932
"Delamere","Delamere Forest",53.239537,-2.68796
"Denton Dene","Denton Dene",54.977492,-1.694872
"Derby Park juniors","Derby Park",53.45145,-2.979622
"Dereham","Dereham",52.684276,0.96988
"Derry City juniors","Foyle Arena",55.000642,-7.304701
"Derry City","Derry City Centre",55.006966,-7.318933
"Derrynoid Forest","Derrynoid Forest",54.802964,-6.810505
"Desborough Green Space juniors","Desborough Leisure Centre",52.446059,-0.819338
"Devonport juniors","Devonport Park,",50.376471,-4.172108
"Dewsbury juniors","Crow Nest Park",53.688984,-1.646944
"Dewsbury","Crow Nest Park, Dewsbury",53.688239,-1.646237
"Didcot","Ladygrove Park",51.612792,-1.239
"Diglis Fields juniors","Diglis Fields juniors",52.180949,-2.219602
"Dinton Pastures juniors","Dinton Pastures Country Park",51.445499,-0.871282
"Dinton Pastures","Dinton Pastures Country Park",51.440292,-0.880056
"Dishley, Loughborough","Loughborough Rugby Club",52.787485,-1.234785
"Dixton juniors","Monmouth Leisure Centre",51.815864,-2.707755
"Doddington Hall","Doddington Hall",53.222149,-0.650558
"Dolgellau","The Marian",52.744574,-3.886527
"Dover Waterfront","Dover Waterfront",51.119994,1.313027
"Dowds Farm juniors","Dowds Farm",50.931244,-1.304687
"Downham Market Academy","Downham Market Academy",52.6034,0.389471
"Drumchapel","Garscadden Woods East",55.91688,-4.350674
"Drumpellier Country","Drumpellier Country Park",55.871588,-4.065615
"Drumpellier juniors","Drumpellier Park",55.872855,-4.068698
"Druridge Bay","Druridge Bay Country Park",55.292765,-1.572348
"Dudley","The Dell Stadium",52.490027,-2.134568
"Dukeries juniors","Dukeries Leisure Centre",53.207905,-0.997203
"Duloch juniors","Duloch Country Park",56.062493,-3.401857
"Dulwich","Dulwich Park, Dulwich",51.443869,-0.079206
"Dumfries juniors","Dock Park",55.062707,-3.606924
"Dunfermline","Pittencrieff Park",56.070684,-3.470694
"Dungannon Park","Dungannon Park",54.489432,-6.755359
"Dunleath Playing Fields","Dunleath Playing Fields",54.323473,-5.718077
"Dunstable Downs","Dunstable Downs",51.865432,-0.537791
"Durham City juniors","Durham Racecourse",54.775551,-1.564287
"Durham","Graham Sports Centre, Durham",54.767605,-1.558852
"Durlston Country Park","Durlston Country Park",50.595211,-1.954023
"Duthie juniors","Duthie Park",57.131553,-2.105342
"East Brighton","East Brighton Park",50.818691,-0.099373
"East Grinstead","East Court",51.129008,0.001373
"East Park","East Park",52.579042,-2.101975
